"070041201001";0;1;"2020-01-01";3;"2027";5;0;0;2;4;0;100;0;0;0;950;2;1;01;1;4;1;3;1;0;0;00;1;01;00;;3;13;"18";9;0;0;1;1;3;800;2;1;5;"-468562,68";"-1096718,452";"-468562,68";"-1096718,452";"-468561,285";"-1096717,918";"";"";"";"dálnice";"D1";"3719732";"";"Souhlasnısesmìremúseku";"Pomalı";"599051";"";"GN_V0.1UIR-ADR_410";"2"
"070041201002";0;1;"2020-01-13";1;"1730";3;0;2;2;1;0;511;0;0;0;300;2;1;01;1;4;1;0;6;0;0;09;1;01;00;;17;;"XX";;;;;;;0;;;;"";"";"-468324,911";"-1094476,366";"-468325,292";"-1094475,082";"";"";"";"místníkomunikace";"";"3602597";"";"Souhlasnısesmìremúseku";"Pomalı";"554821";"";"GN_V0.1UIR-ADR_410";"2"
"070041201003";0;1;"2020-01-17";5;"1725";3;0;4;2;1;2;205;0;0;0;700;2;3;01;1;4;1;6;1;0;0;00;2;01;00;;3;04;"99";9;1;0;0;1;1;500;2;1;1;"";"";"-473799,633";"-1099564,86";"-473799,778";"-1099564,04";"";"";"";"dálnice";"D1";"1284028";"";"Souhlasnısesmìremúseku";"Pomalı";"554821";"";"GN_V0.1UIR-ADR_410";"2"
"070041201004";0;1;"2020-01-27";1;"2055";5;0;0;2;4;0;100;0;0;0;250;2;1;01;1;4;1;3;1;0;0;00;1;01;00;;7;26;"14";9;0;1;0;1;3;200;3;1;5;"-471426,931";"-1098480,592";"-471426,931";"-1098480,592";"-471425,739";"-1098485,263";"";"";"";"dálnice";"D1";"1388645";"";"Souhlasnısesmìremúseku";"Pomalı";"554821";"359556";"GN_V0.1UIR-ADR_410";"2"
"070041201005";0;1;"2020-02-01";6;"0600";3;0;4;2;1;2;508;0;0;0;9000;2;1;01;1;4;1;6;3;0;0;00;1;01;00;;7;48;"14";9;0;0;1;1;1;2500;3;2;1;"-475101,55";"-1100690,908";"-475092,372";"-1100693,068";"-475092,343";"-1100693,078";"";"";"";"dálnice";"D1";"1284274";"";"Souhlasnısesmìremúseku";"Pomalı";"554821";"";"GN_V0.1UIR-ADR_410";"2"
"070041201006";0;1;"2020-02-13";4;"1932";5;0;0;2;4;0;100;0;0;0;250;2;1;01;1;4;1;3;1;0;0;00;1;01;00;;3;44;"14";1;0;0;0;1;3;200;2;1;5;"";"";"-475138,868";"-1101194,892";"-475139,304";"-1101195,926";"";"";"";"dálnice";"D1";"1711247";"";"Souhlasnısesmìremúseku";"Pomalı";"554821";"";"GN_V0.1UIR-ADR_410";"2"
"070041201007";0;1;"2020-02-15";6;"1930";5;0;0;2;4;0;100;0;0;0;1550;2;1;01;1;4;1;3;1;0;0;05;1;01;00;;3;44;"15";3;0;1;1;1;1;1500;3;1;5;"-468605,667";"-1096816,248";"-468605,667";"-1096816,248";"-468601,98";"-1096817,945";"";"";"";"dálnice";"D1";"3567612";"";"Souhlasnısesmìremúseku";"Pomalı";"599051";"";"GN_V0.1UIR-ADR_410";"2"
"070041201008";0;1;"2020-02-15";6;"1938";3;0;4;2;1;2;511;0;0;0;4500;2;1;01;1;4;1;6;1;0;0;00;1;02;00;;3;35;"19";3;0;0;0;1;1;2000;3;1;1;"-468605,667";"-1096816,248";"-468605,667";"-1096816,248";"-468601,98";"-1096817,945";"";"";"";"dálnice";"D1";"3567612";"";"Souhlasnısesmìremúseku";"Pomalı";"599051";"";"GN_V0.1UIR-ADR_410";"2"
"070041201009";0;1;"2020-02-26";3;"1618";3;0;4;2;1;2;508;0;0;0;350;4;1;01;1;1;1;6;3;0;0;00;1;01;00;;3;39;"07";1;0;1;0;1;1;300;2;2;1;"";"";"-484733,951";"-1108971,258";"-484734,064";"-1108971,247";"";"";"";"dálnice";"D1";"3512660";"";"Souhlasnısesmìremúseku";"Pomalı";"556858";"";"GN_V0.1UIR-ADR_410";"2"
"070041201010";0;1;"2020-03-08";0;"2330";5;0;0;2;4;0;100;0;0;0;250;2;1;01;1;4;1;3;1;0;0;05;1;01;00;;3;44;"";1;0;0;0;1;3;200;2;1;5;"";"";"-471502,877";"-1098504,496";"-471502,771";"-1098504,913";"";"";"";"dálnice";"D1";"1388645";"";"Souhlasnısesmìremúseku";"Pomalı";"554821";"359556";"GN_V0.1UIR-ADR_410";"2"
"070041201011";0;1;"2020-03-17";2;"0060";3;0;4;1;1;2;508;1;0;1;69500;3;1;01;1;4;6;3;1;0;0;00;1;04;00;;7;40;"03";9;0;0;1;3;1;5000;0;2;1;"-468178,189";"-1094141,174";"-468164,152";"-1094140,634";"-468164,424";"-1094140,409";"";"";"";"dálnice";"D1";"1333863";"";"Souhlasnısesmìremúseku";"Pomalı";"554821";"";"GN_V0.1UIR-ADR_410";"2"
