"030040160001";0;5;"2016-01-05";2;"2560";3;0;4;2;1;0;502;0;0;0;400;2;1;01;1;1;1;0;3;3;3;00;4;01;22;9;17;;"XX";;;;;;;0;;;;"";"";"-829859,646";"-1072804,306";"-829859,831";"-1072804,692";"";"";"";"dálnice";"D5";"1440039";"";"Souhlasnýsesmìremúseku";"Pomalý";"559580";"";"GN_V0.1UIR-ADR_410";"2"
"030040160002";0;5;"2016-01-22";5;"0310";3;0;4;2;1;2;204;0;0;0;1280;2;3;01;1;6;1;3;1;0;0;00;1;01;00;;3;32;"00";1;0;1;0;1;3;200;3;1;1;"-828468,8";"-1076454,18";"-828468,8";"-1076454,18";"-828471,353";"-1076457,145";"";"";"";"dálnice";"D5";"827686";"";"Souhlasnýsesmìremúseku";"Pomalý";"557676";"";"GN_V0.1UIR-ADR_410";"2"
"030040160003";0;5;"2016-01-22";5;"2060";3;0;9;1;1;2;508;0;0;1;500;2;3;01;1;6;1;3;1;0;0;00;1;02;00;;3;13;"00";1;0;1;0;1;3;0;2;1;1;"-823552,38";"-1076462,581";"-823551,303";"-1076449,12";"-823551,359";"-1076449,479";"";"";"";"dálnice";"D5";"827705";"";"Souhlasnýsesmìremúseku";"Pomalý";"554791";"";"GN_V0.1UIR-ADR_410";"2"
"030040160004";0;5;"2016-03-29";2;"0860";2;0;0;1;1;2;203;4;2;1;2300;2;1;01;1;1;1;3;1;0;0;00;1;02;00;;7;62;"11";9;0;1;1;1;1;1500;3;1;1;"-823929,296";"-1076386,311";"-823929,296";"-1076386,311";"-823929,443";"-1076388,066";"";"";"";"dálnice";"D5";"1440315";"";"Souhlasnýsesmìremúseku";"Pomalý";"554791";"";"GN_V0.1UIR-ADR_410";"2"
"030040160005";0;5;"2016-04-07";4;"0935";1;4;0;2;1;2;201;0;0;0;700;2;1;01;1;1;1;3;1;0;0;00;1;02;00;;5;35;"05";3;0;1;0;1;1;300;2;1;1;"-791736,321";"-1064358,19";"-791734,168";"-1064337,734";"-791733,746";"-1064338,885";"";"";"";"dálnice";"D5";"2359612";"";"Souhlasnýsesmìremúseku";"Pomalý";"559903";"";"GN_V0.1UIR-ADR_410";"2"
"030040160006";0;5;"2016-04-07";4;"2344";3;0;4;2;1;2;508;0;0;0;2510;2;1;01;1;6;1;3;3;0;0;00;1;01;00;;3;13;"04";1;0;1;0;3;1;700;2;1;1;"-804015,779";"-1071057,244";"-804015,779";"-1071057,244";"-804016,68";"-1071054,263";"";"";"";"dálnice";"D5";"1347264";"";"Souhlasnýsesmìremúseku";"Pomalý";"559717";"";"GN_V0.1UIR-ADR_410";"2"
"030040160007";0;5;"2016-04-17";0;"0730";3;0;9;2;1;2;508;0;0;0;4070;2;3;01;4;3;1;3;3;0;0;00;1;01;00;;7;26;"10";9;0;1;0;1;1;3000;4;2;1;"-802009,466";"-1069923,953";"-802009,466";"-1069923,953";"-802007,433";"-1069928,1";"";"";"";"dálnice";"D5";"3069764";"";"Souhlasnýsesmìremúseku";"Pomalý";"560251";"";"GN_V0.1UIR-ADR_410";"2"
"030040160008";6;;"2016-04-21";4;"0301";2;0;0;2;1;0;508;0;0;0;100;2;1;01;1;4;1;0;0;0;0;10;1;02;00;;7;40;"15";3;0;1;0;1;5;0;9;;;"-805215,992";"-1071094,454";"-805215,992";"-1071094,454";"-805216,061";"-1071091,608";"";"";"";"místníkomunikace";"";"2847039";"";"Souhlasnýsesmìremúseku";"Pomalý";"559717";"";"GN_V0.1UIR-ADR_410";"2"
"030040160009";0;5;"2016-04-21";4;"0455";3;0;4;2;1;2;508;0;0;0;1984;2;1;01;1;1;1;3;1;0;0;00;1;01;00;;3;39;"02";9;0;1;0;1;1;600;4;1;1;"-797789,456";"-1069250,141";"-797772,231";"-1069237,222";"-797771,794";"-1069238,074";"";"";"";"dálnice";"D5";"2359632";"";"Souhlasnýsesmìremúseku";"Pomalý";"560014";"";"GN_V0.1UIR-ADR_410";"2"
"030040160010";0;5;"2016-04-24";0;"1260";1;4;0;2;1;2;201;0;0;0;6030;2;1;01;1;1;1;3;1;0;0;00;1;04;00;;3;48;"14";9;0;1;0;1;1;3000;3;1;1;"-811656,609";"-1072213,939";"-811656,609";"-1072213,939";"-811656,271";"-1072218,155";"";"";"";"dálnice";"D5";"1761434";"";"Souhlasnýsesmìremúseku";"Pomalý";"559792";"";"GN_V0.1UIR-ADR_410";"2"
